Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,wac,bac,iac,aac,nac
est72013,1-Jul-13,totsex,Both Sexes,tothisp,Total,0100000US,,United States,252369817,45080786,6435928,19627287,1436939
est72014,1-Jul-14,female,Female,hisp,Hispanic,0100000US,,United States,24810954,1710617,1116342,500502,170823
est72014,1-Jul-14,female,Female,nhisp,Not Hispanic,0100000US,,United States,103222294,22090507,2163287,10075162,561901
est72014,1-Jul-14,female,Female,tothisp,Total,0100000US,,United States,128033248,23801124,3279629,10575664,732724
est72014,1-Jul-14,male,Male,hisp,Hispanic,0100000US,,United States,25417143,1647519,1189006,497445,178491
est72014,1-Jul-14,male,Male,nhisp,Not Hispanic,0100000US,,United States,100258742,20231366,2060472,9238190,559808
est72014,1-Jul-14,male,Male,tothisp,Total,0100000US,,United States,125675885,21878885,3249478,9735635,738299
est72014,1-Jul-14,totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50228097,3358136,2305348,997947,349314
est72014,1-Jul-14,totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,203481036,42321873,4223759,19313352,1121709
est72014,1-Jul-14,totsex,Both Sexes,tothisp,Total,0100000US,,United States,253709133,45680009,6529107,20311299,1471023
est72015,1-Jul-15,female,Female,hisp,Hispanic,0100000US,,United States,25352106,1763279,1141895,514777,175277
est72015,1-Jul-15,female,Female,nhisp,Not Hispanic,0100000US,,United States,103336469,22335539,2184600,10416095,574528
est72015,1-Jul-15,female,Female,tothisp,Total,0100000US,,United States,128688575,24098818,3326495,10930872,749805
est72015,1-Jul-15,male,Male,hisp,Hispanic,0100000US,,United States,25941466,1702414,1215095,511889,183277
est72015,1-Jul-15,male,Male,nhisp,Not Hispanic,0100000US,,United States,100451096,20480848,2082351,9551613,572828
est72015,1-Jul-15,male,Male,tothisp,Total,0100000US,,United States,126392562,22183262,3297446,10063502,756105
est72015,1-Jul-15,totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,51293572,3465693,2356990,1026666,358554
est72015,1-Jul-15,totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,203787565,42816387,4266951,19967708,1147356
est72015,1-Jul-15,totsex,Both Sexes,tothisp,Total,0100000US,,United States,255081137,46282080,6623941,20994374,1505910
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0400000US01,1,Alabama,70422,7412,4276,1329,1598
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0400000US01,1,Alabama,1665711,680198,27093,34372,2114
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0400000US01,1,Alabama,1736133,687610,31369,35701,3712
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0400000US01,1,Alabama,89559,8361,5702,1580,2259
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0400000US01,1,Alabama,1594601,592564,25858,31076,2013
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0400000US01,1,Alabama,1684160,600925,31560,32656,4272
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0400000US01,1,Alabama,159981,15773,9978,2909,3857
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,1,Alabama,3260312,1272762,52951,65448,4127
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0400000US01,1,Alabama,3420293,1288535,62929,68357,7984
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0400000US01,1,Alabama,70423,7412,4276,1329,1598
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0400000US01,1,Alabama,1665791,680220,27093,34372,2114
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0400000US01,1,Alabama,1736214,687632,31369,35701,3712
